,Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm
0,1.0,5.1,3.5,1.4,0.2
1,2.0,4.9,Nan,1.4,0.2
2,Nan,4.7,3.2,1.3,0.2
3,4.0,4.6,3.1,1.5,0.2
4,,,3.6,1.4,0.2
5,6.0,5.4,3.9,1.7,0.4
6,7.0,4.6,3.4,1.4,0.3
7,8.0,,3.4,1.5,0.2
8,9.0,4.4,2.9,1.4,0.2
9,10.0,4.9,3.1,1.5,0.1
10,11.0,5.4,3.7,1.5,0.2
11,12.0,4.8,3.4,1.6,0.2
12,13.0,4.8,Nan,1.4,0.1
13,14.0,4.3,Nan,1.1,0.1
14,15.0,5.8,4.0,1.2,0.2
15,16.0,5.7,4.4,1.5,0.4
16,17.0,5.4,3.9,1.3,0.4
17,18.0,5.1,3.5,1.4,0.3
18,19.0,5.7,3.8,1.7,0.3
19,20.0,5.1,3.8,1.5,0.3
20,21.0,5.4,3.4,1.7,0.2
21,22.0,5.1,3.7,1.5,0.4
22,23.0,4.6,3.6,1.0,0.2
23,24.0,5.1,3.3,1.7,0.5
24,25.0,4.8,3.4,1.9,0.2
25,26.0,,Nan,1.6,0.2
26,27.0,,3.4,1.6,0.4
27,28.0,5.2,3.5,1.5,0.2
28,29.0,5.2,3.4,1.4,0.2
29,30.0,4.7,3.2,1.6,0.2
30,31.0,4.8,3.1,1.6,0.2
31,32.0,5.4,3.4,1.5,0.4
32,33.0,5.2,4.1,1.5,0.1
33,34.0,5.5,4.2,1.4,0.2
34,35.0,4.9,3.1,1.5,0.1
35,36.0,,3.2,1.2,0.2
36,37.0,5.5,3.5,1.3,0.2
37,38.0,4.9,3.1,1.5,0.1
38,39.0,4.4,Nan,1.3,0.2
39,40.0,5.1,3.4,1.5,0.2
40,41.0,,3.5,1.3,0.3
41,42.0,4.5,2.3,1.3,0.3
42,43.0,4.4,3.2,1.3,0.2
43,44.0,,3.5,1.6,0.6
44,45.0,5.1,3.8,1.9,0.4
45,46.0,4.8,Nan,1.4,0.3
46,47.0,5.1,3.8,1.6,0.2
47,48.0,4.6,3.2,1.4,0.2
48,49.0,5.3,3.7,1.5,0.2
49,50.0,,3.3,1.4,0.2
50,51.0,7.0,3.2,4.7,1.4
51,52.0,6.4,3.2,4.5,1.5
52,53.0,6.9,3.1,4.9,1.5
53,54.0,5.5,2.3,4.0,1.3
54,55.0,6.5,2.8,4.6,1.5
55,56.0,5.7,2.8,4.5,1.3
56,57.0,6.3,3.3,4.7,1.6
57,58.0,4.9,2.4,3.3,1.0
58,59.0,6.6,2.9,4.6,1.3
59,60.0,5.2,2.7,3.9,1.4
60,61.0,,2.0,3.5,1.0
61,62.0,5.9,Nan,4.2,1.5
62,63.0,6.0,2.2,4.0,1.0
63,64.0,6.1,2.9,4.7,1.4
64,65.0,5.6,2.9,3.6,1.3
65,66.0,6.7,3.1,4.4,1.4
66,67.0,5.6,Nan,4.5,1.5
67,68.0,5.8,2.7,4.1,1.0
68,69.0,6.2,2.2,4.5,1.5
69,70.0,5.6,2.5,3.9,1.1
70,71.0,5.9,3.2,4.8,1.8
71,72.0,6.1,2.8,4.0,1.3
72,73.0,6.3,2.5,4.9,1.5
73,74.0,6.1,2.8,4.7,1.2
74,75.0,6.4,2.9,4.3,1.3
75,76.0,6.6,Nan,4.4,1.4
76,77.0,6.8,2.8,4.8,1.4
77,78.0,6.7,Nan,,1.7
78,79.0,6.0,2.9,4.5,1.5
79,80.0,5.7,2.6,3.5,1.0
80,81.0,5.5,2.4,3.8,1.1
81,82.0,5.5,2.4,3.7,1.0
82,83.0,5.8,2.7,3.9,1.2
83,84.0,6.0,2.7,5.1,1.6
84,85.0,5.4,Nan,4.5,1.5
85,86.0,6.0,3.4,4.5,1.6
86,87.0,6.7,3.1,4.7,1.5
87,88.0,6.3,2.3,4.4,1.3
88,89.0,5.6,Nan,4.1,1.3
89,90.0,5.5,2.5,4.0,1.3
90,91.0,5.5,2.6,4.4,1.2
91,92.0,6.1,Nan,4.6,1.4
92,93.0,5.8,2.6,4.0,1.2
93,94.0,,2.3,3.3,1.0
94,95.0,5.6,2.7,4.2,1.3
95,96.0,5.7,Nan,4.2,1.2
96,97.0,5.7,2.9,4.2,1.3
97,98.0,6.2,2.9,4.3,1.3
98,99.0,5.1,2.5,Nan,1.1
99,100.0,5.7,2.8,4.1,1.3
100,101.0,6.3,3.3,6.0,2.5
101,102.0,5.8,2.7,5.1,1.9
102,103.0,7.1,Nan,5.9,2.1
103,104.0,6.3,2.9,5.6,1.8
104,105.0,6.5,Nan,5.8,2.2
105,106.0,7.6,Nan,6.6,2.1
106,107.0,4.9,2.5,4.5,1.7
107,108.0,7.3,2.9,6.3,1.8
108,109.0,6.7,2.5,5.8,1.8
109,110.0,7.2,3.6,6.1,2.5
110,111.0,6.5,3.2,5.1,2.0
111,112.0,6.4,2.7,5.3,1.9
112,113.0,6.8,Nan,5.5,2.1
113,114.0,5.7,2.5,,2.0
114,115.0,5.8,2.8,5.1,2.4
115,116.0,6.4,3.2,5.3,2.3
116,117.0,6.5,Nan,5.5,1.8
117,118.0,7.7,3.8,6.7,2.2
118,119.0,7.7,2.6,6.9,2.3
119,120.0,6.0,2.2,,1.5
120,121.0,6.9,3.2,5.7,2.3
121,122.0,5.6,2.8,4.9,2.0
122,123.0,7.7,2.8,6.7,2.0
123,124.0,6.3,2.7,4.9,1.8
124,125.0,6.7,3.3,5.7,2.1
125,126.0,7.2,3.2,6.0,1.8
126,127.0,6.2,2.8,4.8,1.8
127,128.0,6.1,Nan,4.9,1.8
128,129.0,6.4,2.8,5.6,2.1
129,130.0,7.2,Nan,5.8,1.6
130,131.0,7.4,2.8,6.1,1.9
131,132.0,7.9,3.8,6.4,2.0
132,133.0,6.4,2.8,5.6,2.2
133,134.0,6.3,2.8,5.1,1.5
134,135.0,6.1,2.6,5.6,1.4
135,136.0,7.7,Nan,6.1,2.3
136,137.0,6.3,3.4,5.6,2.4
137,138.0,6.4,3.1,5.5,1.8
138,139.0,6.0,Nan,4.8,1.8
139,140.0,6.9,3.1,5.4,2.1
140,141.0,6.7,3.1,5.6,2.4
141,142.0,6.9,3.1,5.1,2.3
142,143.0,5.8,2.7,5.1,1.9
143,144.0,6.8,3.2,5.9,2.3
144,145.0,6.7,3.3,5.7,2.5
145,146.0,6.7,Nan,5.2,2.3
146,147.0,6.3,2.5,,1.9
147,148.0,6.5,Nan,5.2,2.0
148,149.0,6.2,3.4,5.4,2.3
149,150.0,5.9,Nan,5.1,1.8
